price,air__airline_Indigo,air__airline_Jet Airways,air__airline_Other,doj__date_of_journey_week,doj__date_of_journey_day_of_year,location__source,location__destination,dur__duration_rbf_25,dur__duration_cat,dur__duration_over_1000,dur__duration,stops__total_stops,stops__is_direct_flight
7832,0.0,1.0,0.0,0.17647058823529405,0.1694915254237288,-0.8584946554683299,-0.7354716941498041,-0.3642912977409259,2.0,0,-0.03408788583458159,1.0,0
6540,0.0,1.0,0.0,0.23529411764705876,0.22033898305084743,1.0654039108775666,1.061627485639281,-0.3642912977409259,2.0,0,0.04623793054051981,1.0,0
7305,0.0,0.0,1.0,0.05882352941176472,0.06779661016949157,-0.8584946554683299,-0.7354716941498041,2.3726930841618974,0.0,0,-0.9176718659606969,0.0,1
8366,0.0,0.0,0.0,0.8823529411764705,0.8728813559322035,-0.20435731675889413,-0.22518812033683266,-0.3642912977409259,2.0,0,-0.17465806449100904,1.0,0
11087,0.0,1.0,0.0,0.11764705882352944,0.09322033898305082,-0.8584946554683299,-0.7354716941498041,-0.3642912977409259,2.0,0,-0.21482097267855974,1.0,0
4544,0.0,1.0,0.0,0.4117647058823529,0.43220338983050854,-0.8584946554683299,-1.8392702385862953,-0.3642912862015131,1.0,0,-0.8975904118669217,0.0,1
7064,0.0,1.0,0.0,0.2941176470588235,0.2627118644067796,-0.20435731675889413,-0.22518812033683266,-0.3642912977409259,2.0,0,-0.09433224811590764,1.0,0
2647,0.0,0.0,1.0,0.8823529411764705,0.8983050847457628,-1.8925570140157486,-0.7354716941498041,-0.3642912977409259,0.0,0,-1.0883642257577875,0.0,1
12192,0.0,0.0,0.0,0.823529411764706,0.847457627118644,1.0654039108775666,1.061627485639281,-0.3642912977409259,2.0,0,0.17676738215005958,1.0,0
15129,0.0,1.0,0.0,0.5882352941176471,0.5847457627118644,1.0654039108775666,1.061627485639281,-0.3642912977409259,2.0,1,2.265238607902696,2.0,0
13044,0.0,1.0,0.0,0.8823529411764705,0.8728813559322035,-0.20435731675889413,-0.22518812033683266,-0.3642912977409259,2.0,1,1.1406771786512764,1.0,0
